street,city,country,longitude,latitude
Acibadem Universitesi Kayisdagi,Istanbul - Asya,TR,29.11,40.98
Av. Lopez Mateos No. 1307 Local 1,Tlajomulco,MX,-103.44,20.59
190 Queen Street East,Brampton,CA,-79.75,43.69
1-9-1 Marunouchi,Chiyoda-ku,JP,139.77,35.68
"Salling Department Store, Algade",Alborg,DK,9.92,57.05
3-27-7 Sakae Naka-ku,Nagoya,JP,136.91,35.17
599 Taylor Kidd Blvd,Kingston,CA,-76.57,44.25
Avenida Garcia Morato s/n,Malaga,ES,-4.49,36.68
拱北迎宾大道,珠海市,CN,113.55,22.22
经济技术开发区,杭州市,CN,120.33,30.31
杨浦区,上海市,CN,121.51,31.3
525 Av. Franklin Delano Roosevelt,San Juan,PR,-66.07,18.42
"Av. Kennedy 5413, Local S440",Santiago,CL,-70.58,-33.4
上海市宝山区,上海市,CN,121.36,31.39
1-55 Morimachi,Nagasaki,JP,129.86,32.76
8 Shenton Way,Singapore,SG,103.85,1.28
163 Tanglin Road,Singapore,SG,103.82,1.3
庐阳区,合肥市,CN,117.29,31.86
2560 Hosoe Shikama-ku,Himeji,JP,134.67,34.8
市中区,济宁市,CN,116.59,35.41
1200 Baker Street,Cranbrook,CA,-115.77,49.51
"No. 26, Guanqian Rd.",Taipei City,TW,121.51,25.04
玉山镇,昆山市,CN,120.95,31.38
"Serrano 1545, Palermo",Buenos Aires,AR,-58.42,-34.57
浦东新区,上海市,CN,121.5,31.24
"Unit 22, George's Court",Waterford,IE,-7.11,52.26
1-10-13 Tenjin Chuo-ku,Fukuoka,JP,130.4,33.59
杨浦区,上海市,CN,121.51,31.31
"Next, 82-88 Queen Street",Cardiff,GB,-3.18,51.48
1-6 Higashi,Kunitachi,JP,139.45,35.7
硚口区,武汉市,CN,114.22,30.58
丰台区,北京市,CN,116.44,39.86
顺德区,佛山市,CN,113.27,22.83
经济开发区,德州市,CN,116.37,37.43
"Av. De las Fuentes 425, local 6A",Mexico City,MX,-99.21,19.32
"596 Dongnim-dong, Seo-gu Gwangju",Gwangju,KR,126.51,35.1
Zinc House,London,GB,-0.1,51.52
Pza. Francesc Maçià no 7,Barcelona,ES,2.14,41.39
1420 Major Mackenzie Drive,Vaughan,CA,-79.49,43.86
"1/1 Trường Chinh, Quận Tân Phú",Thành Phố Hồ Chí Minh,VN,106.63,10.81
Turnului 5,Brasov,RO,25.59,45.64
"4/29 moo 10 Sinakharin rd, Bangna,",Bangkok,TH,100.65,13.65
常平镇,东莞市,CN,114,22.97
1907 Sumas Way,Abbotsford,CA,-122.27,49.04
Ground Floor (incl. the cockloft),Central,CN,114.15,22.28
1-2-67 Kitano,Tokorozawa,JP,139.43,35.8
Av. Madero esquina Bolivar,Mexico,MX,-99.14,19.44
"No. 323, Xida Rd.",Hsinchu City,TW,121.02,24.82
4. Levent Sabanci Center Kule 2 K:Bodrum,Istanbul,TR,29.01,41.09
"1045, Dunsan2-dong, seo-gu",Daejeon,KR,127.38,36.35
شارع الجهراء,مدينة الكويت,KW,47.95,29.34
"Av. Juarez # 15, esq Convento de Acolman",Mexico City,MX,-99.23,19.53
"Shop on G/F., 102 Austin Road, Tsimshats",Kowloon,CN,114.17,22.3
3-1-5 Gakuenminami,Nara,JP,135.75,34.7
"Ground Floor, Shree Nirmal Building",Mumbai,IN,72.82,18.93
1512 Avenue Canal de Tezontle,Mexico City,MX,-99.08,19.38
Jernbanetorget 1,Oslo,NO,10.75,59.91
静安区,上海市,CN,121.44,31.24
萨尔图区,大庆市,CN,125.09,46.59
Manila East Road,Angono,PH,121.15,14.54
"32, Lower O'Connell Street, Dublin 1",Dublin,IE,-6.26,53.35
海曙区日新街105号1F-17商铺,宁波市,CN,121.56,29.87
JL. Pluit Raya,Jakarta Utara,ID,106.78,-6.12
4916 - 130 Ave SE,Calgary,CA,-113.96,50.93
"Twin Lakes, Tagaytay-Nasugbu Highway",Batangas,PH,121.06,13.76
U Dalnice 777,Brno,CZ,16.63,49.14
"No. 289, Sec. 1,  Neihu Road",Taipei City,TW,121.57,25.08
2-278 Senshu,Nagaoka,JP,138.83,37.46
5203-1 Shinyoshidacho Kohoku-ku,Yokohama,JP,139.61,35.55
"Rua Visconde de Piraja, 206, Loja A",Rio de Janeiro,BR,-43.2,-22.98
Av. Lopez Mateos s/n,Guadalajara,MX,-103.42,20.62
9 Byward Street,London,GB,-0.08,51.51
808 York  Mills Road - York Mill and Les,Toronto,CA,-79.36,43.75
199 High Street,Epping,GB,0.11,51.7
401 - 1801 Princeton Hwy,Kamloops,CA,-120.37,50.65
118 Queen Street,Niagara on the Lake,CA,-79.07,43.26
2-18-14 Hirata Higashi,Matsumoto,JP,137.96,36.19
"Unit 137, Blanchardstown Shopping Centre",Dublin,IE,-6.39,53.39
"No. 188, Sec. 1, Jiuzong Rd, Neihu Dist",Taipei City,TW,121.58,25.06
51 Great Russell Street,London,GB,-0.13,51.52
"No. 13, Jhengyi N Rd, Sanchong Dist.",New Taipei City,TW,121.5,25.06
"Shop 201, 2/F, Alexandra House",Hong Kong,CN,114.16,22.28
Trianglen 2-4,Copenhagen,DK,12.58,55.7
江宁区,南京市,CN,118.84,31.95
"539-1, Gojan 2-dong, Danwon-gu",Ansan,KR,126.55,37.21
3199 Lakeshore,toronto,CA,-79.52,43.6
Costera Miguel Aleman esq. Fragata Acap,ACAPULCO,MX,-99.91,16.85
9-1 Hondori Naka-ku,Hiroshima,JP,132.46,34.39
Goztepe Mah. Bagdat Cad. Alemdar,Istanbul,TR,29.06,40.97
Carr Miguel Aleman #250-B,Nuevo Leon,MX,-100.2,25.74
龙华区,深圳市,CN,114.06,22.62
5025 Glen Erin Drive,Mississauga,CA,-79.71,43.55
3175 Rutherford Road,Vaughan,CA,-79.54,43.83
Buyukdere Cad. Istanbul Cevahir Alisveri,Istanbul,TR,28.99,41.06
黄浦区,上海市,CN,121.49,31.23
59 Broadgate Link,London,GB,-0.08,51.52
"Pribinova 8, 811 09 Bratislava",Bratislava,SK,17.12,48.14
201 Wood Lane,London,GB,-0.23,51.51
Marcos Highway corner Felix Avenue,Cainta,PH,121.1,14.62
450 Rene-Levesque West,Montreal,CA,-73.57,45.5
1-1 Takaracho,Hiratsuka,JP,139.35,35.33
4 Place Lyautey,Versailles,FR,2.13,48.8
26 Missouri St,San Juan,PH,121.05,14.6
6620 Finch Avenue West,Toronto,CA,-79.6,43.73
2-201 Kamiasahi,Nagoya,JP,136.97,35.09
越秀区,广州市,CN,113.31,23.13
鼓楼区,福州市,CN,119.3,26.08
Kokilaben Dhirubhai Ambani Hospital,Mumbai,IN,72.82,19.13
"Avenida Paulista, 2026",Sao Paulo,BR,-46.66,-23.56
YAS Island,Abu Dhabi,AE,54.61,24.46
635-13,서울,KR,127.03,37.53
"33-11, Songjeong-dong",Gumi-si,KR,128.34,36.12
Jalan Gatot Subroto Kav 38,Jakarta,ID,106.82,-6.24
海淀区,北京市,CN,116.31,40.04
盐田区,深圳市,CN,114.3,22.61
和平区,天津市,CN,117.21,39.12
Bukowska 156,Poznan,PL,16.86,52.41
1-3 ST MARYS ROAD,MARKET HARBOROUGH,GB,-0.92,52.48
"Pravdy street, 26",Moscow,RU,37.58,55.79
550 King St. N.,Waterloo,CA,-80.53,43.5
Boulevard  Kukulcan km. 3.5,Cancun,MX,-86.79,21.15
南岗区,哈尔滨,CN,126.61,45.72
813 11th Avenue SW,Calgary,CA,-114.08,51.04
566 London Road,North Cheam,GB,-0.23,51.37
West Thurrock Retail Park,Essex,GB,0.28,51.49
"32nd Street, Bonifacio Global City",Taguig City,PH,121.05,14.55
Grosse Friedberger Str. 6,FRANKFURT AM MAIN,DE,8.69,50.11
1260 Webber Greens Dr NW,Edmonton,CA,-113.64,53.52
Upperkirkgate(2&4),Aberdeen,GB,-2.1,57.15
红谷滩新区,南昌市,CN,115.8,28.58
南海区,佛山市,CN,112.99,22.94
99/28 Moo1 Rachathewa,Samutprakarn,TH,100.71,13.63
4154 Village Green,Whistler,CA,-122.96,50.11
1 South Parade,Nottingham,GB,-1.15,52.95
"No.51G & 51A, Jalan SS21/37",Petaling Jaya,MY,101.62,3.13
Morelos Boulevard,Hermosillo,MX,-110.95,29.12
شارع التخصصى,الرياض,SA,46.68,24.68
Wisley North Service Station,Guildford,GB,-0.49,51.29
209 4th Avenue SE,Calgary,CA,-114.06,51.05
Bongmyeong-dong 1404,Cheongju,KR,127.46,36.65
滨江区,杭州市,CN,120.21,30.18
江东区,宁波市,CN,121.62,29.86
"Rodovia Santos Dumont, km 66",Campinas,BR,-47.14,-23.01
25a Kensington High St,London,GB,-0.19,51.5
禅城区,佛山市,CN,113.11,23.01
"458-6, Daejam-dong, Nam-gu",Pohang-si,KR,129.34,36.03
泉山区,徐州市,CN,117.16,34.26
古城区,丽江市,CN,100.24,26.87
"Av. Apoquindo 3575, Las Condes",Santiago,CL,-70.59,-33.42
Theaterstrasse 8,Zurich,CH,8.55,47.37
江苏省泰州市,泰州市,CN,119.92,32.48
"849, Doan-dong, Seo-gu",Daejeon,KR,127.34,36.33
6-2-22 Kamo,Kawanishi,JP,135.41,34.81
儋州市,儋州市,CN,109.59,19.53
长宁区,上海市,CN,121.42,31.22
"Av. Vasco de Quiroga 3800, Local 255",Mexico City,MX,-99.28,19.36
Charlotte Street,Nassau,BS,-77.34,25.08
Prince Mohammad Bin Fahed Road,Al-Dammam,SA,49.98,26.25
"Lot G.03, Ground Floor",Kuala Lumpur,MY,101.69,3.15
6063 Isla Verde Ave,Carolina,PR,-66.02,18.44
"No. 60, Gungyuan Rd",Tainan City,TW,120.21,23
秀英区,海口市,CN,110.28,19.98
"Jl. Manggarai Utara 1 Tebet, Manggarai",Jakarta,ID,113.15,-8.14
"1st Floor, Ambience Mall",New Delhi,IN,77.16,28.54
150 Dundas Street,Toronto,CA,-79.39,43.66
Boulevar Los Yoses,San Jose,CR,-84.06,9.93
ul. Powstanców Śląskich 95,Wrocław,PL,17.02,51.09
西城区,北京市,CN,116.38,39.96
5101 Av du Parc,Montreal,CA,-73.6,45.52
131 Century Crossing,Spruce Grove,CA,-113.88,53.54
"No. 14-1,  Sec. 1 Hushan Rd.",Taipei City,TW,121.46,25.01
石狮市,泉州市,CN,118.65,24.74
1-2-22 Sumiyoshi Hakata-ku,Fukuoka,JP,130.41,33.59
"No. 2, Jalan Lagenda, Taman 1-Lagenda",Melaka,MY,102.25,2.21
Taepyungro,Seoul,KR,126.98,37.57
1250 Brant Street,Burlington,CA,-79.83,43.34
شارع 110,مدينة الكويت,KW,48.02,29.32
Insurgentes Sur #1405,Mexico City,MX,-99.18,19.37
徐汇区,上海市,CN,121.44,31.19
南长区,无锡市,CN,120.29,31.57
"No. 289, Jianguo Rd., Xindian Dist.",New Taipei City,TW,121.54,24.98
50 rue de Rennes,Paris,FR,2.33,48.85
1658 128th Street,Surrey,CA,-122.87,49.03
"Shop unit 226-227, 2/F, Shun Tak Centre,",Hong Kong,CN,114.15,22.29
Av. Gomez Morin  404 Col. Del Valle,Monterrey,MX,-100.36,25.65
江苏省苏州市,苏州市,CN,120.63,31.3
S/N Col. Nueva Tijuana,Tijuana,MX,-116.98,32.54
浦东新区,上海市,CN,121.59,31.27
MBU to provide,Marrakech,MA,-7.98,31.63
"150-19, Gwangmyeong-dong",Gwangmyeong-si,KR,126.86,37.48
江北区,惠州市,CN,114.42,23.1
Jl. Metro Tanjung Bunga,Makassar,ID,106.85,-6.13
236 Ebisu Shikama-ku,Himeji,JP,134.67,34.8
朝阳区,北京市,CN,116.49,40
249-19,울산,KR,129.32,35.55
Cag Universitesi Adana Mersin,Mersin (Icel),TR,35.08,36.98
2-62-3 Denenchofu,Ota-ku,JP,139.67,35.6
Hyde Estate Road,London,GB,-0.24,51.58
滨海新区,天津市,CN,117.68,39.01
Av. Salaverry 2255,San Isidro,PE,-77.05,-12.09
"Zaker Hussein St. extension, Plot no. 4",Cairo,EG,31.25,30.05
"531/1-2 Ideo Mobi Charan-Interchange, Ch",Bangkok,TH,100.47,13.76
75 Avenue de la Gare,Saint-Sauveur,CA,-74.15,45.89
浦东新区,上海市,CN,121.82,30.87
上海浦东新区,上海市,CN,121.53,31.21
Maipu 1270,Buenos Aires,AR,-58.38,-34.59
上海市闵行区,上海市,CN,121.5,31.08
Godoy Cruz 2400,Buenos Aires,AR,-58.43,-34.58
Jl. TB Simatupang No 8,Jakarta,ID,106.82,-6.29
"Lo Fontecilla 441, Las Condes",Santiago,CL,-70.53,-33.38
46 Rue de Rivoli,Paris,FR,2.35,48.86
747 Square Victoria,Montreal,CA,-73.56,45.5
261055 Cross Iron Blvd.,Rocky View,CA,-113.99,51.2
شارع الامير هاشم,عمان,JO,35.89,31.94
锦江区,成都市,CN,104.07,30.65
"444, 1st Floor  (1A06-07) MBK Tower",Patumwan,TH,100.53,13.75
681 Greens Lane,London,GB,-0.1,51.63
Řevnická 121/1,Praha,CZ,14.29,50.05
长宁区,上海市,CN,121.39,31.2
Khalidiya St.,Abu Dhabi,AE,55.69,24.19
"Vialidad Metepec S/N,",Metepec,MX,-99.62,19.26
姑苏区,苏州市,CN,120.63,31.31
"11, Dongsomundong2ga, Sungbukgu",Seoul,KR,127.01,37.59
"No.77, Sec.2, Wuchang St., Wanhua Dist",Taipei City,TW,121.51,25.04
30 EDSA corner Pioneer Street,Mandaluyong City,PH,121.05,14.57
"No 489, Sec 2, Minsheng Rd",Tainan City,TW,120.2,22.99
318/5 Ladkrabang Rd. Ladgrabang,Bangkok,TH,100.73,13.72
PR Road # 3 km 63.8,Carolina,PR,-66,18.4
金牛区,成都市,CN,104.07,30.71
Av. De Mayo 1300,Buenos Aires,AR,-58.38,-34.61
江苏省南通市,南通市,CN,120.9,31.97
福田区,深圳市,CN,114.05,22.53
"Américo Vespucio 399, Local 321 y 323",Santiago,CL,-70.75,-33.48
"Av. José Pedro Alessandri 3177,",Concepcion,CL,-73.07,-36.79
伯乐东路666号,乐清市,CN,120.98,28.11
Al Shamal Road,Doha,QA,51.45,25.35
North Luzon Expressway,Marilao,PH,120.96,14.76
11 Leadenhall Street,London,GB,-0.08,51.51
"A12 (southbound), Rivenhall End, Witham",Rivenhall South,GB,0.67,51.82
High Street,Uxbridge,GB,-0.48,51.55
الصويفية- بلوك 1054-,عمان,JO,35.87,31.95
Jupiter St & N Reyes St,Makati City,PH,121.02,14.56
"No 5, Jalan Lagoon Selatan",Petaling Jaya,MY,101.6,03.07
"1498 U-dong, Haeundae-gu",Busan,KR,129.13,35.17
208 Nakazato,Odawara,JP,139.19,35.28
Stenersgata 1,Oslo,NO,10.75,59.91
DR.-RUER-PLATZ 6-7,BOCHUM,DE,7.22,51.48
Jalan Lintas Luyang,Kota Kinabalu,MY,116.1,5.96
3190 MacDonald Street,Vancouver,CA,-123.17,49.26
87,서울,KR,127.03,37.51
3605 Shelbourne Street,Victoria,CA,-123.33,48.46
"Shop E, Central Pier 7 (Star Ferry), Man",Hong Kong,CN,114.16,22.29
2-14-4 Yotsuya,Shinjuku-ku,JP,139.72,35.69
上海市嘉定区,上海市,CN,121.28,31.33
"625-3, Seongjeong-dong, Seobuk-gu",Cheonan-si,KR,127.14,36.83
Huayuan St & Yongsheng Road,Changzhou,CN,119.95,31.69
Sumulong Highway,Marikina City,PH,121.1,14.64
"U.S. Army Garrison Grafenwohr, Am Lager",Grafenwohr,DE,11.88,49.7
4-4-5 Minatomirai Nishi-ku,Yokohama,JP,139.63,35.46
41. Ada Atasehir Bulv. Ata Carsi 4-1,Istanbul,TR,29.13,40.99
9 Raffles Boulevard,Singapore,SG,103.86,1.29
Shaikh Zayed Road,Dubai,AE,55.24,25.17
2509 Prince Michael Dr.,Oakville,CA,-79.71,43.5
天元区,株洲市,CN,113.13,27.83
"Circuito Medicos # 45,  Ciudad Satelite",Mexico City,MX,-99.23,19.51
880 Kitakobayashi,Mibu-machi,JP,139.83,36.47
观前街1-53号,苏州市,CN,120.63,31.31
10 Talbot Street,Dublin,IE,-6.26,53.35
E80 Aire de Breguieres Nord,Mougins,FR,7,43.59
CC AEROVILLE,TREMBLAY EN FRANCE,FR,2.52,48.99
2-10-2 Fujimi,Chiyoda-ku,JP,139.74,35.7
Lacson St.,Manila,PH,120.99,14.62
经济技术开发区时尚东路29号,天津市,CN,117.73,39.03
1-3-18 Awaza Nishi-ku,Osaka,JP,135.5,34.68
长宁区金钟路968号,上海市,CN,121.35,31.22
Nikis 11 & Aristotelous,Thessaloniki,GR,22.94,40.63
801 7th Avenue SW,Calgary,CA,-114.08,51.05
1 Rue Des Carrieres,Quebec City,CA,-71.21,46.81
东西湖区,武汉市,CN,114.24,30.65
5 Anshunakakoujicho Yamashina-ku,Kyoto,JP,135.82,34.99
164-680 Hwy-401 Eastbound,Woodstock,CA,-80.75,43.13
思明区,厦门市,CN,118.13,24.5
"M40 Motoway Northbound, Junction 12/13",Ashorne,GB,-1.51,52.22
"No 6 Lane 38, Sec 2 Minquan Road",Yilan City,TW,121.75,24.76
"Atlantic Park, Clovelly Road",Bideford,GB,-4.22,51.02
Hochbergerstrasse 70,Basel,CH,7.6,47.58
고현리 958-15,경상남도,KR,128.62,34.89
4200 St Denis,Montreal,CA,-73.58,45.52
77-1 대창타운빌 1층,서울,KR,126.89,37.52
1 Adelaide St E,Toronto,CA,-79.38,43.65
1-29-1 Minamiikebukuro,Toshima-ku,JP,139.71,35.73
Jalan Ir. H Juanda No.1,Surabaya,ID,112.73,-7.33
3-1-1 Lake Town,Koshigaya,JP,139.83,35.88
1-403 Kosugicho Nakahara-ku,Kawasaki,JP,139.66,35.58
卢湾区,上海市,CN,121.47,31.22
Diosadado Macapagal Avenue,Pasay City,PH,120.99,14.54
Av Federico Lacroze 2301 (esq 3 de Febr),Buenos Aires,AR,-58.44,-34.57
江干区,杭州市,CN,120.21,30.25
Ground Floor,New Delhi,IN,77.22,28.53
46 The Broadway,Stratford,GB,0,51.54
"185-1, Pyeongtaek-dong",Pyeongtaek-si,KR,127.08,36.99
2253 Queen S. E.,Toronto,CA,-79.29,43.67
"No. 235, Chung-Kang Road, Sec.1",Taichung City,TW,120.73,24.26
Harbour Road,Howth,IE,-6.07,53.39
福田区,深圳市,CN,114.05,22.53
Atrium Halls 7-9,Birmingham,GB,-1.73,52.45
1511-4 Dangu-dong,Wonju,KR,127.57,37.19
9499 137 Avenue NW,Edmonton,CA,-113.49,53.6
529 West Hunt Club Road,Nepean,CA,-75.73,45.33
Avenue Rene Gassin,Merignac,FR,-0.65,44.84
517 Miyanishi Tanakacho,Yamatokoriyama,JP,135.77,34.64
1-201 Mutsuno Atsuta-ku,Nagoya,JP,136.91,35.14
"Rodovia Helio Smidt, s/n, Terminal 2",Guarulhos,BR,-46.49,-23.43
Avda.Gran Bretana s/n,Madrid,ES,-3.74,40.34
1 - 1689 Government Street,Victoria,CA,-123.37,48.43
No.19 North Qingyuan Rd,Nantong,CN,121.18,32.31
101-844 March Road,Kanata,CA,-75.93,45.36
1-1 Idaigaoka Hasamamachi,Yufu,JP,131.54,33.21
Unit 67B,Sheffield,GB,-1.47,53.38
河西区,天津市,CN,117.22,39.1
1133 Alberni Street,Vancouver,CA,-123.12,49.29
98-5 yangpyeong4ga,seoul,KR,126.89,37.54
Porfiriou Dikeou,Nicosia,CY,33.32,35.16
青羊区,成都市,CN,104.02,30.66
1-7-5 Jinnan,Shibuya-ku,JP,139.7,35.66
花桥镇,昆山市,CN,121.15,31.29
经济技术开发区,武汉市,CN,114.21,30.51
الكيلو 28 طريق الاسكندرية الصحراوى,,EG,31.03,30.06
"Paseo de los Heroes , Zona Rio",Tijuana,MX,-117.01,32.52
光耀东方广场一层103单元,北京市,CN,116.32,39.9
3 Simei Street 6,Singapore,SG,103.95,1.34
深圳市,深圳市,CN,113.93,22.54
Departure Hall,Zaventem,BE,4.49,50.9
Sangam Press Road,Pune,IN,73.82,18.5
浙江省杭州市,杭州市,CN,120.19,30.23
7230 Boul Du Quartier,Montreal,CA,-73.44,45.44
10499 Islington Avenue,Kleinburg,CA,-79.63,43.84
Jalan Basuki Rahmat No. 1 Jatinegara,Jakarta,ID,106.87,-6.22
"CN-340, KM 210, Las Lagunas",Mijas Costa,ES,-4.63,36.55
"The Courtyard , Seef District",Bahrain,BH,50.52,26.21
罗湖区,深圳市,CN,114.12,22.54
1-5-1 Aoki,Futtsu,JP,139.85,35.33
TahilPazari Mah. Kazim Ozalp Cad.,Antalya,TR,30.7,36.89
"No.147, Sec. 4, Chenggong Rd, Neihu Dist",Taipei City,TW,121.59,25.08
福田区,深圳市,CN,114.02,22.54
Blvd Pedro Infante,Culiacan,MX,-107.44,24.79
"Elphinstone Building, Horniman Circle",Mumbai,IN,72.83,18.93
482 Bayfield Street Unit 3,Barrie,CA,-79.71,44.41
555 Gionmachi-Minamigawa Higashiyama-ku,Kyoto,JP,135.78,35
"Unit 8, Capital Retail Park, Capital Way",Preston,GB,-2.68,53.75
鱼峰区,柳州,CN,109.41,24.3
2-5-1 Shikatacho Kita-ku,Okayama,JP,133.92,34.65
香洲区,珠海市,CN,113.59,22.24
丰台区,北京市,CN,116.31,39.87
LEOPOLDSTRASSE 56,MUENCHEN,DE,11.59,48.16
"Bluebell Way, Fullwood",Preston,GB,-2.65,53.79
"El Quinde Ica, Av. Los Maestros 206",Ica,PE,-75.74,-14.08
850 Tsutsui,Masaki-cho,JP,132.71,33.79
Jl. MH Thamrin No. 9,Jakarta,ID,106.82,-6.19
11 Tanjong Katong #01-17/18/19,Singapore,SG,103.89,1.32
205 College,Toronto,CA,-79.4,43.66
Helsinki-Vantaa Airport Terminal 2,Vantaa,FI,24.97,60.32
"Av. Engenheiro Luis Carlos Berrini, 773",Sao Paulo,BR,-46.69,-23.6
ul. Dworcowa,Poznań,PL,16.91,52.4
91 Campus Drive,Saskatoon,CA,-106.63,52.13
"US Army 2ID, Bosan-dong",Dongducheon,KR,127.06,37.92
662,Klongtoey,TH,100.57,13.73
Valero St. Salcedo Village,Makati City,PH,121.02,14.56
Jalan Raya Solo Permai,Solo,ID,107.58,-6.96
374-20 Seogyo-dong,Seoul,KR,126.92,37.55
2-5-5 Kandaogawamachi,Chiyoda-ku,JP,139.76,35.69
"بلوك 12, شارع التعاون",مدينة الكويت,KW,48.09,29.32
89 High Street,Norfolk,GB,0.4,52.75
"42, 25th August Street",Heraklion,GR,25.13,35.34
"No. 3, Jalan SS20/27",Petaling Jaya,MY,101.63,3.13
启东市,南通市,CN,121.67,31.8
3-7-6 Sannomiyacho Chuo-ku,Kobe,JP,135.19,34.69
1-1-3 Nishishinjuku,Shinjuku-ku,JP,139.7,35.69
18-20 Northgate Street,Chester,GB,-2.89,53.19
30 Hagley Road,Edgbaston,GB,-1.92,52.47
"99, Mittraphap - Nong khai Road, Naimuea",Nakhon Ratchasima,TH,102.09,14.98
65 Wicksteed Ave,Toronto,CA,-79.36,43.71
朝阳区,北京市,CN,116.49,39.88
Carretera Picacho Ajusco n.557,Mexico,MX,-99.21,19.28
"277 Orchard Road, B2-05",Singapore,SG,103.84,1.3
弋江区,芜湖市,CN,118.37,31.31
"Persiaran Bukit Raja 2,Bandar Baru Klang",Klang,MY,101.47,03.06
张家港杨舍镇,苏州市,CN,120.55,31.86
海珠区,广州市,CN,113.31,23.09
1302 Paseo del Pedregal,Tijuana,MX,-117.12,32.53
白下区,南京市,CN,118.8,32.04
47 Benjamin Franklin Hipodromo Condesa,Mexico City,MX,-99.18,19.41
1-2 Anseimachi Chuo-ku,Kumamoto,JP,130.71,32.8
15850 26 Ave,Surrey,CA,-122.78,49.05
"No.828, Demin Rd.",Kaohsiung City,TW,120.29,22.72
Istanbul Yolu 5 Km Fatih Sultan Mehmet,Ankara,TR,32.76,39.95
Shizheng Rd.,Taichung City,TW,120.64,24.16
20151 Fraser Highway,Langley,CA,-122.66,49.11
1301 Main Street,Penticton,CA,-119.59,49.48
12507 102nd Ave,Edmonton,CA,-113.54,53.54
Flughafenstrasse 1-3,Hamburg,DE,10,53.63
ul.Legnicka 58,Wrocław,PL,16.99,51.12
罗湖区,深圳市,CN,114.11,22.54
Camino Real de la Plata no. 100 y 102,Pachuca,MX,-98.77,20.1
Universiteler Mah. Bilkent,Ankara,TR,32.75,39.87
Plaza Canovas del Castillo 5,Madrid,ES,-3.69,40.42
1-1-2 Oshiage,Sumida-ku,JP,139.81,35.71
Boulevard Manuel Avila Camacho # 456,Mexico,MX,-99.22,19.46
Prolongacion Avenida Santa Margarita,Guadalajara,MX,-103.44,20.73
죽전리 1025,경기도,KR,127.11,37.33
滨湖区,无锡市,CN,120.3,31.49
西大街1号钟鼓楼广场,西安市,CN,108.95,34.26
"99 Unit G04, Esplanade",Huaykwang,TH,100.57,13.77
3-2 Kandakajicho,Chiyoda-ku,JP,139.77,35.69
"No.312, Sec.6, Minquan E. Rd.",Taipei City,TW,121.61,25.07
西城区,北京市,CN,116.37,39.91
55-59 Calea Vitan Street,Bucharest,RO,26.13,44.42
海陵区,泰州市,CN,119.92,32.5
"Vladimirskiy prospect, bld. 19",Saint-Petersburg,RU,30.35,59.93
Vooruitgangstraat 76,Schaerbeek,BE,4.36,50.86
余杭区,杭州市,CN,120.3,30.42
南开区,天津市,CN,117.17,39.14
Marknadsgatan 1,Uppsala,SE,17.68,59.88
Targowa 72,Warszawa,PL,21.05,52.26
"Autopista Tte. Gral. Ricchieri Km 33,5",Ezeiza,AR,-58.53,-34.8
Costanera Sur Rio Mapocho 2730,Santiago,CL,-70.61,-33.41
"No.158, Sec 5, Mingsheng E Rd, Shongshan",Taipei City,TW,121.56,25.06
3940 Brock Street North,Whitby,CA,-78.96,43.91
Av. La Fontana cuadra 8 con Los Frestale,Lima,PE,-76.95,-12.07
Oran Mah. Turan Gunes Bulv. No:19,Ankara,TR,32.86,39.88
"Changi South Ave 1, #01-68",Singapore,SG,103.96,1.33
"3F, No.15, Hangjhan S. Rd.",Taoyuan,TW,121.21,25.06
657-104. Hannam 1-dong,Seoul,KR,127.02,37.32
"No. 157, Junghua  Rd., Yongkang Dist",Tainan City,TW,120.24,23
Chan Rd. Yannawa,Bangkok,TH,100.52,13.71
"No.7, Persiaran Setia Dagang, Seksyen U1",Shah Alam,MY,101.46,3.11
311 E Broadway,Vancouver,CA,-123.1,49.26
790-46 Inui-dong,Gumi-si,KR,128.42,36.11
Science Park Drive,Singapore,SG,103.79,1.29
5790 Malden Street,LaSalle,CA,-83.06,42.25
Nuruosmaniye Cad. Guraylar,Istanbul,TR,28.97,41.01
90 High Holborn,London,GB,-0.12,51.52
"57 Daecheon-dong, Anseong-si",Ansung,KR,127.16,37.03
秦淮区洪武路29号,南京市,CN,118.79,32.04
1-1-12 Sakuragicho Omiya-ku,Saitama,JP,139.62,35.91
10-39 Hidenincho Tennoji-ku,Osaka,JP,135.51,34.65
71 de la Gappe,Gatineau,CA,-75.72,45.46
621-1 Irinocho Nishi-ku,Hamamatsu,JP,137.7,34.7
"2 Hong Ha st, Ward 2",Ho Chi Minh,VN,106.67,10.81
"Pedro de Valdivia 27, Providencia",Santiago,CL,-70.61,-33.42
111 5th Ave,Calgary,CA,-114.06,51.05
吉阳区,三亚市,CN,109.5,18.27
滨江区,杭州市,CN,120.2,30.21
"Shop 1 on Ground Floor, Fortis Bank",Wan Chai,CN,114.19,22.28
225 A Banff Avenue,Banff,CA,-115.57,51.18
St Nicholas Centre,Aberdeen,GB,-2.1,57.15
Avenida Callao 1087,Buenos Aires,AR,-58.39,-34.6
"Warehouse K, ExCel Centre",London,GB,0.03,51.51
丰泽区,泉州市,CN,118.65,24.87
2-281-3 Kawasaki,Hanyu,JP,139.54,36.14
19369 Sheriff King Street SW,Calgary,CA,-114.07,50.88
GF Emerald Bldg MacArthur Highway,San Fernando,PH,120.68,15.04
